OBJECTID,TreeID,Genus,SpecificEpithet,CultivarName,ScientificName,CommonName,DBH_in,Height_ft,CampusArea
11342,13077,Chionanthus,retusus,,Chionanthus retusus,Chinese Fringe Tree,2.5,< 16 Feet,Main Campus
11343,13078,Chionanthus,retusus,,Chionanthus retusus,Chinese Fringe Tree,8,16 - 33 Feet,Main Campus
11344,13079,Quercus,lobata,,Quercus lobata,Valley Oak,8,16 - 33 Feet,Main Campus
11345,13080,Quercus,lobata,,Quercus lobata,Valley Oak,9.5,16 - 33 Feet,Main Campus
11346,13082,Quercus,lobata,,Quercus lobata,Valley Oak,5.5,< 16 Feet,Main Campus
11347,13083,Quercus,phellos,,Quercus phellos,Willow Oak,11,16 - 33 Feet,Main Campus
11348,13084,Quercus,phellos,,Quercus phellos,Willow Oak,13.5,16 - 33 Feet,Main Campus
11349,13085,Quercus,phellos,,Quercus phellos,Willow Oak,14,16 - 33 Feet,Main Campus
11350,13086,Quercus,lobata,,Quercus lobata,Valley Oak,12,16 - 33 Feet,Main Campus
11352,13088,Quercus,lobata,,Quercus lobata,Valley Oak,2.36220472,< 16 Feet,Main Campus
11353,13089,Quercus,phellos,,Quercus phellos,Willow Oak,12,16 - 33 Feet,Main Campus
11354,13090,Quercus,lobata,,Quercus lobata,Valley Oak,10,16 - 33 Feet,Main Campus
11355,13091,Quercus,lobata,,Quercus lobata,Valley Oak,1.96850394,< 16 Feet,Main Campus
11356,13093,Quercus,lobata,,Quercus lobata,Valley Oak,10,16 - 33 Feet,Main Campus
11357,13095,Quercus,lobata,,Quercus lobata,Valley Oak,7,16 - 33 Feet,Main Campus
11358,13096,Quercus,agrifolia,,Quercus agrifolia,Coast Live Oak,12,16 - 33 Feet,Main Campus
11359,13097,Quercus,lobata,,Quercus lobata,Valley Oak,10,16 - 33 Feet,Main Campus
11360,13098,Quercus,agrifolia,,Quercus agrifolia,Coast Live Oak,11,16 - 33 Feet,Main Campus
11361,13099,Quercus,agrifolia,,Quercus agrifolia,Coast Live Oak,10,16 - 33 Feet,Main Campus
11362,13100,Quercus,agrifolia,,Quercus agrifolia,Coast Live Oak,9,16 - 33 Feet,Main Campus
